Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Start training...
Epoch[1] Validation-mae=0.545190
Iter[2] Batch[0] Train-mae=0.543483
Iter[2] Batch[2] Train-mae=0.539534
Iter[2] Batch[4] Train-mae=0.536416
Iter[2] Batch[6] Train-mae=0.535507
Iter[2] Batch[8] Train-mae=0.535848
Iter[2] Batch[10] Train-mae=0.536726
Iter[2] Batch[12] Train-mae=0.535200
Iter[2] Batch[14] Train-mae=0.535056
Iter[2] Batch[16] Train-mae=0.533548
Iter[2] Batch[18] Train-mae=0.533969
Iter[2] Batch[20] Train-mae=0.534254
Iter[2] Batch[22] Train-mae=0.534289
Iter[2] Batch[24] Train-mae=0.534353
Iter[2] Batch[26] Train-mae=0.534363
Iter[2] Batch[28] Train-mae=0.534041
Iter[2] Batch[30] Train-mae=0.533942
Iter[2] Batch[32] Train-mae=0.533737
Iter[2] Batch[34] Train-mae=0.533647
Iter[2] Batch[36] Train-mae=0.532943
Iter[2] Batch[38] Train-mae=0.532845
Iter[2] Batch[40] Train-mae=0.532800
Iter[2] Batch[42] Train-mae=0.532667
Iter[2] Batch[44] Train-mae=0.532926
Iter[2] Batch[46] Train-mae=0.532638
Iter[2] Batch[48] Train-mae=0.532522
Epoch[2] Train-mae=0.532522
Epoch[2] Time cost=230.037
Saved checkpoint to "unet-0003.params"
Epoch[2] Validation-mae=0.517904
Iter[3] Batch[0] Train-mae=0.532154
Iter[3] Batch[2] Train-mae=0.527694
Iter[3] Batch[4] Train-mae=0.531229
Iter[3] Batch[6] Train-mae=0.528214
Iter[3] Batch[8] Train-mae=0.529767
Iter[3] Batch[10] Train-mae=0.529921
Iter[3] Batch[12] Train-mae=0.530693
Iter[3] Batch[14] Train-mae=0.530528
Iter[3] Batch[16] Train-mae=0.530647
Iter[3] Batch[18] Train-mae=0.530986
Iter[3] Batch[20] Train-mae=0.530565
Iter[3] Batch[22] Train-mae=0.529907
Iter[3] Batch[24] Train-mae=0.530225
Iter[3] Batch[26] Train-mae=0.529440
Iter[3] Batch[28] Train-mae=0.529620
Iter[3] Batch[30] Train-mae=0.528647
Iter[3] Batch[32] Train-mae=0.529136
Iter[3] Batch[34] Train-mae=0.529104
Iter[3] Batch[36] Train-mae=0.529210
Iter[3] Batch[38] Train-mae=0.529312
Iter[3] Batch[40] Train-mae=0.529299
Iter[3] Batch[42] Train-mae=0.529218
Iter[3] Batch[44] Train-mae=0.529211
